Foley, AL 36535,30.4065868,-87.6835974
Birmingham, AL 35244,33.5206824,-86.8024326
Montgomery, Alabama 36117,32.3669656,-86.3006485
Gadsden, Alabama 35904,33.9573115,-86.06781394
Birmingham, Alabama 35223,33.5206824,-86.8024326
Orange Beach, AL 36561,30.307016,-87.57586769
Huntsville, Alabama 35806,34.729847,-86.5859011
Birmingham, Alabama 35243,33.5206824,-86.8024326
Orange Beach, AL 36561,30.307016,-87.57586769
Prattville, Alabama 36066,32.4640245,-86.4596966
Orange Beach, AL 36561,30.307016,-87.57586769
Prattville, AL 36066,32.4640245,-86.4596966
Tuscaloosa, Alabama 35401,33.2668398,-87.4862182
Decatur, AL 35601,34.61881,-87.05150694
Gulf Shores, Alabama 36542,30.273586,-87.683139
Hoover, Alabama 35244,33.434977,-86.81784808
Birmingham, Alabama 35243,33.5206824,-86.8024326
Tuscaloosa, Alabama 35405,33.2668398,-87.4862182
Orange Beach, AL 36561,30.307016,-87.57586769
Mobile, AL 36604,30.6943566,-88.0430541
Dothan, Alabama 36303,31.2232313,-85.3904889
Florence, Alabama 35632,34.79981,-87.677251
Florence, Alabama 35632,34.79981,-87.677251
Soldotna, Alaska 99669,60.4847228,-151.0653495
Sedona, Arizona 86336,34.8657757,-111.7929891
Scottsdale, Arizona 85253,33.5091215,-111.8992365
Tucson, AZ 85713,32.2055093,-110.958513
Tucson, AZ 85756,32.2218917,-110.9262353
Kingman, Arizona 86401,35.189443,-114.0530065
Sedona, AZ 86336,34.8657757,-111.7929891
Grand Canyon Village, AZ 86023,36.045879,-112.1540187
Phoenix, AZ 85018,33.4485866,-112.0773456
Sedona, AZ 86351,34.8657757,-111.7929891
Sedona, AZ 86336,34.8657757,-111.7929891
Chandler, Arizona 85226,33.3067132,-111.8408489
Marble Canyon, AZ 86036,36.8155432,-111.6376612
Bisbee, AZ 85603,31.4481481,-109.9284025
Sedona, Arizona 86336,34.8657757,-111.7929891
Sedona, AZ 86351,34.8657757,-111.7929891
Scottsdale, AZ 85254,33.5091215,-111.8992365
Phoenix, Arizona 85034,33.4485866,-112.0773456
Phoenix, AZ 85027,33.4485866,-112.0773456
Phoenix, AZ 85034,33.4283641,-112.0499835
Flagstaff, AZ 86001,35.199458,-111.6514259
Chandler, AZ 85225,33.3067132,-111.8408489
Phoenix, Arizona 85032,33.4485866,-112.0773456
Tucson, AZ 85718,32.2218917,-110.9262353
Sedona, AZ 86336,34.8657757,-111.7929891
Scottsdale, AZ 85262,33.5091215,-111.8992365
Tempe, Arizona 85281,33.4144139,-111.9094474
Mesa, Arizona 85206,33.436188,-111.5860662
Sierra Vista, AZ 85635,31.55043365,-110.29874
Parker, AZ 85344,34.1500162,-114.2891177
Snowflake, Arizona 85937,34.5114704,-110.0796089
Phoenix, AZ 85054,33.4485866,-112.0773456
Chandler, AZ 85224,33.3067132,-111.8408489
Scottsdale, AZ 85260,33.5091215,-111.8992365
Globe, AZ 85501,33.3959511,-110.787177
Williams, AZ 86046,35.2517501,-112.1902005
Flagstaff, AZ 86004,35.199458,-111.6514259
Sedona, Arizona 86351,34.8657757,-111.7929891
Scottsdale, AZ 85258,33.5091215,-111.8992365
Tucson, AZ 85745,32.2218917,-110.9262353
Sedona, Arizona 86336,34.8657757,-111.7929891
Winslow, AZ 86047,35.0208941,-110.6946825
Sedona, Arizona 86336,34.8657757,-111.7929891
Catalina, Arizona 85739,32.48218,-110.9001391
Tuba City, AZ 86045,36.1355819,-111.2403034
Paradise Valley, Arizona 85253,33.5428006,-111.9556001
Cottonwood, AZ 86326,34.7391876,-112.0098791
Phoenix, AZ 85020,33.4485866,-112.0773456
Payson, AZ 85541,34.2308684,-111.3251355
Pinetop, AZ 85935,34.1258775,-109.9376056
Flagstaff, Arizona 86001,35.199458,-111.6514259
Flagstaff, AZ 86001,35.199458,-111.6514259
Phoenix, AZ 85018,33.4485866,-112.0773456
Scottsdale, Arizona 85251,33.5091215,-111.8992365
Scottsdale, Arizona 85260,33.5091215,-111.8992365
Scottsdale, AZ 85258,33.5091215,-111.8992365
Sedona, AZ 86336,34.8657757,-111.7929891
Prescott, AZ 86301,34.5402813,-112.469518
Tempe, Arizona 85281,33.4144139,-111.9094474
Phoenix, AZ 85016,33.4485866,-112.0773456
Lake Havasu City, Arizona 86403,34.48858664,-114.3455206
Scottsdale, AZ 85251,33.5091215,-111.8992365
Marana, AZ 85658,32.4446988,-111.2157091
Scottsdale, Arizona 85251,33.5091215,-111.8992365
Tucson, Arizona 85718,32.2218917,-110.9262353
Litchfield Park, Arizona 85340,33.4933796,-112.3581244
Tombstone, AZ 85638,31.7128683,-110.0675764
Chandler, Arizona 85226,33.3067132,-111.8408489
Tucson, Arizona 85705,32.22693555,-111.0158446
Scottsdale, AZ 85251,33.5091215,-111.8992365
Bentonville, AR 72712,36.3728538,-94.2088172
Hot Springs National Park, Arkansas 71901,34.5167562,-93.0529572
Eureka Springs, AR 72632,36.4000796,-93.7392419
North Little Rock, Arkansas 72120,34.7456275,-92.15314458
Conway, Arkansas 72032,35.0886963,-92.4421011
Conway, Arkansas 72032,35.0886963,-92.4421011
Conway, Arkansas 72032,35.0886963,-92.4421011
Springdale, AR 72764,36.1867442,-94.1288142
Little Rock, Arkansas 72209,34.6795552,-92.3614692
Little Rock, Arkansas 72211,34.75466042,-92.41748991
Benton, Arkansas 72019,34.5645372,-92.586828
Little Rock, AR 72206,34.7213017,-92.1917287
Conway, Arkansas 72032,35.0886963,-92.4421011
Pocahontas, AR 72455,36.2612154,-90.9711021
Heber Springs, AR 72543,35.4914677,-92.03126
Lake Hamilton, AR 71913,34.4353128,-93.13212309
Little Rock, Arkansas 72205,34.7471499,-92.3456471
Little Rock, Arkansas 72209,34.6795552,-92.3614692
Little Rock, Arkansas 72211,34.75466042,-92.41748991
Russellville, AR 72802,35.2784173,-93.1337856
